Inst,Cat#,subsp.,looked at it?,author,Locality,Latitude,Longitude
USNM,142247,T. t. besara,x,Lyon 1913,"Borneo: Kapuas River, N Bank, Below Tyan, Opposite Pulo Jambu",-0.190444444,109.9185833
British Museum,95.3.21.4,T. t. tana,x,Raffles 1821,"Sumatra, probably Bencoolen",-3.751694444,102.3601944
British Museum,99.12.9.5,T. t. utara,x,Lyon 1913,"Three thousand feet on Mount Dulit, Baram district, northern Borneo",3.333333333,114.1500278
USNM,104712,T. t. sirhassenensis,x,Miller 1901,"Sumatra; Riau Province, Natuna Selatan Islands, Sirhassen (=Serasan)",2.5,109.05
USNM,101640,T. t. bunoae,x,Miller 1900,"Sumatra; Riau Province, Tambelan Islands, Bunoa (=Pulau Benua)",0.933055556,107.4710556
USNM,114412,T. t. tuancus,x,Lyon 1913,"Sumatra; Atjeh District, Banjak Islands, Pulau Tuangku",2.141611111,97.28769444
USNM,101597,T. t. lingae,x,Lyon 1913,"Sumatra; Riau Province, Lingga Archipelago, Linga(=Lingga)",-0.168277778,104.6343333
USNM,121754,T. t. cervicalis,x,Miller 1903,"Sumatra; North Sumatra Province, Batu Islands, Tana Bala (=Tanahbala); Tanahbala, Pulau",-0.409555556,98.44105556
USNM,121835,T. t. masae,x,Lyon 1913,"Sumatra; North Sumatra Province, Batu Islands, Tana Masa (=Pulau Tanahmasa)",-0.110166667,98.42047222
British Museum,76.5.2.19,T. t. chrysura,x,Gunther 1876,"Mainland of Borneo, opposite the island of Labuan",5.035638889,115.6014722
British Museum,93.4.1.1,T. t. paitana,x,Lyon 1913,"Paitan River, northeastern Borneo",6.408611111,117.4052222
Leyden Museum,?,T. t. dorsalis,,Schlegel 1857,"Lower Kapuas River, western Borneo",-0.031138889,111.0361111
FMNH,88366,T. t. kelabit,x,Davis 1958,"Sarawak; Fourth Division, Kelabit Plateau, Pa Umur, 3500f",3.71875,115.4438611
FMNH,68794,T. t. kretami,x,Davis 1962,"Bukit Kretam, southeast end of Dewhurst Bay, Kinabatangan District, North Borneo",5.481638889,118.5931944
Sarawak Museum,?,T. t. nitida,x,Chasen 1933,"Mt. Poi (500 ft), west Sarawak",1.8,109.6833611
Raffles Museum,3436,T. t. banguei,x,Chasen and Kloss 1932,"Banguey Island, North Borneo",7.257805556,117.15325
RMNH,34120,T. t. nainggolani,,Sody 1936,"N. Sumatra, Atjeh (Aceh), Perlak, below 100m",4.151083333,96.97622222
,,T. t. speciosa,,Wagner 1841,"Borneo; restr. to Banjermasin, South Borneo (by Chasen 1940)",-3.316833333,114.5944444
Museum of Comparative Zoology,"36,416",T. t. griswoldi,,Coolidge 1938,"Kiau, Kenokok River, Mt. Kinabalu, British North Borneo, altitute of 3300 ft",6.075305556,116.5591389